Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,9.8,11.26,9.62,11.24,11.24,23929600
2018-03-29,11.5,11.8,10.65,11.0,11.0,5863900
2018-04-02,11.05,11.5,10.91,11.0,11.0,2771000
2018-04-03,11.5,11.5,10.791,10.91,10.91,2509600
2018-04-04,10.75,11.08,10.55,10.97,10.97,1498200
2018-04-05,11.0,11.049,10.75,10.98,10.98,893300
2018-04-06,10.95,11.03,10.85,10.94,10.94,684700
2018-04-09,11.0,11.69,10.96,11.1,11.1,2648400
2018-04-10,11.45,11.59,11.25,11.5,11.5,2198200
2018-04-11,11.58,11.59,11.03,11.48,11.48,1497800
2018-04-12,11.53,11.76,11.35,11.62,11.62,2075200
2018-04-13,11.6,11.69,11.32,11.4,11.4,803800
2018-04-16,11.41,11.5,11.33,11.33,11.33,562000
2018-04-17,11.35,11.4,11.16,11.32,11.32,635100
2018-04-18,11.44,11.5,11.29,11.35,11.35,582400
2018-04-19,11.4,11.49,11.28,11.35,11.35,433000
2018-04-20,11.25,11.31,11.06,11.19,11.19,625700
2018-04-23,11.29,11.46,11.051,11.19,11.19,867800
2018-04-24,11.25,11.52,11.21,11.29,11.29,1223300
2018-04-25,11.19,11.29,10.82,10.9,10.9,1530200
2018-04-26,11.06,11.19,10.85,11.0,11.0,343100
2018-04-27,11.0,11.1,10.61,10.61,10.61,495000
2018-04-30,10.7,11.08,10.1,10.92,10.92,1090900
2018-05-01,10.84,11.04,10.41,10.58,10.58,581000
2018-05-02,10.52,10.636,10.21,10.26,10.26,558700
2018-05-03,10.19,10.459,10.0,10.08,10.08,844000
2018-05-04,10.18,10.28,9.86,9.99,9.99,954500
2018-05-07,10.01,10.14,9.86,10.0,10.0,877800
2018-05-08,10.05,10.49,9.95,10.27,10.27,733800
2018-05-09,10.41,10.73,10.28,10.65,10.65,1043500
2018-05-10,10.73,11.679,10.51,11.0,11.0,1653000
2018-05-11,11.06,12.19,11.06,11.46,11.46,3152500
2018-05-14,11.55,12.2,11.5,12.07,12.07,1946800
2018-05-15,12.07,12.42,11.52,12.16,12.16,1529300
2018-05-16,12.24,14.35,12.16,14.11,14.11,3113400
2018-05-17,13.83,14.87,13.03,13.55,13.55,4410200
2018-05-18,13.5,13.5,12.8,12.84,12.84,2469000
2018-05-21,12.94,13.18,12.67,12.75,12.75,3480100
2018-05-22,13.0,13.26,12.61,13.14,13.14,2364300
2018-05-23,13.07,13.38,12.3,12.44,12.44,6222900
2018-05-24,14.35,15.49,13.45,13.85,13.85,16603700
2018-05-25,13.86,14.44,13.85,14.24,14.24,3624500
2018-05-29,14.3,15.189,14.22,15.03,15.03,4145300
2018-05-30,15.2,16.884001,15.19,16.67,16.67,6639700
2018-05-31,17.129999,17.709999,15.0,16.23,16.23,10142000
2018-06-01,16.51,17.200001,15.87,16.91,16.91,4287600
2018-06-04,17.4,18.155001,16.25,16.43,16.43,5657600
2018-06-05,16.48,16.74,15.6,16.709999,16.709999,4193100
2018-06-06,16.940001,16.959999,16.141001,16.57,16.57,2725700
2018-06-07,16.559999,16.790001,16.049999,16.219999,16.219999,1983600
2018-06-08,16.1,19.35,15.85,18.950001,18.950001,10538300
2018-06-11,19.01,19.35,17.360001,18.42,18.42,11994900
2018-06-12,18.620001,19.1,17.6,18.66,18.66,7313900
2018-06-13,18.780001,20.24,18.5,20.07,20.07,10175900
2018-06-14,20.690001,22.700001,19.6,20.5,20.5,19542000
2018-06-15,20.575001,21.35,18.82,19.65,19.65,14056800
2018-06-18,19.35,21.66,18.950001,21.280001,21.280001,10162500
2018-06-19,20.799999,21.25,19.08,19.18,19.18,10723700
2018-06-20,20.040001,20.290001,18.5,18.540001,18.540001,8227700
2018-06-21,18.5,18.540001,16.0,16.440001,16.440001,13195500
2018-06-22,16.52,16.879999,15.38,16.65,16.65,8722300
2018-06-25,15.67,16.190001,14.8,15.36,15.36,8813300
2018-06-26,15.95,16.530001,15.51,15.85,15.85,7155400
2018-06-27,16.209999,16.299999,13.89,13.9,13.9,9576000
2018-06-28,13.5,14.9,13.31,14.5,14.5,7180500
2018-06-29,14.9,14.9,13.82,13.99,13.99,6025800
2018-07-02,13.24,13.64,12.97,13.36,13.36,7243900
2018-07-03,13.54,14.09,13.12,13.8,13.8,3656400
2018-07-05,14.0,14.1,12.88,12.9,12.9,6617300
2018-07-06,12.51,13.37,12.5,13.3,13.3,6019300
2018-07-09,13.66,14.08,13.285,13.85,13.85,9256500
2018-07-10,13.47,13.97,13.13,13.26,13.26,6777500
2018-07-11,12.96,13.53,12.76,12.78,12.78,7441200
2018-07-12,13.2,14.4,12.95,14.26,14.26,11804400
2018-07-13,14.5,14.69,13.5,13.8,13.8,9513200
2018-07-16,13.72,14.25,13.28,13.8,13.8,8538200
2018-07-17,13.42,14.15,13.1,13.69,13.69,6857100
2018-07-18,13.95,14.99,13.9,14.43,14.43,10267600
2018-07-19,14.43,15.08,13.8,13.92,13.92,10799300
2018-07-20,13.96,14.71,13.82,14.41,14.41,6371200
2018-07-23,14.41,14.7,13.636,14.18,14.18,4917200
2018-07-24,14.4,14.77,13.65,13.92,13.92,6209200
2018-07-25,13.77,13.95,13.13,13.36,13.36,9249400
2018-07-26,12.8,13.15,12.66,12.77,12.77,6985700
2018-07-27,13.1,13.1,12.0,12.13,12.13,6568300
2018-07-30,11.3,12.0,11.05,11.59,11.59,6687400
2018-07-31,11.5,12.25,11.35,11.71,11.71,3235500
2018-08-01,11.66,11.73,11.16,11.33,11.33,3789400
2018-08-02,11.0,11.52,10.7,11.51,11.51,6487900
2018-08-03,11.51,11.6,11.0,11.06,11.06,2901600
2018-08-06,11.12,11.74,11.113,11.27,11.27,3413000
2018-08-07,11.38,11.67,11.3,11.4,11.4,2804300
2018-08-08,11.49,11.679,11.24,11.39,11.39,1809400
2018-08-09,11.4,11.579,11.22,11.25,11.25,1839500
2018-08-10,11.25,11.37,11.02,11.14,11.14,2683600
2018-08-13,11.19,11.27,10.7,10.81,10.81,2273700
2018-08-14,10.57,10.69,10.26,10.66,10.66,5840400
2018-08-15,9.9,10.3,9.09,10.265,10.265,10742700
2018-08-16,10.51,10.94,10.5,10.56,10.56,5202100
2018-08-17,10.55,10.87,9.94,10.7,10.7,2922700
2018-08-20,11.25,11.44,10.5,11.3,11.3,5316300
2018-08-21,11.55,12.43,11.5,11.85,11.85,5490500
2018-08-22,11.75,11.82,10.96,11.01,11.01,4486300
2018-08-23,11.21,11.35,10.433,10.53,10.53,4609900
2018-08-24,10.58,10.99,10.41,10.91,10.91,3993900
2018-08-27,11.45,11.77,10.96,11.53,11.53,9487100
2018-08-28,12.85,13.75,12.64,13.08,13.08,19444300
2018-08-29,13.0,14.23,12.18,13.76,13.76,9428200
2018-08-30,13.4,13.7,12.25,13.14,13.14,8767700
2018-08-31,12.7,13.4,12.7,12.83,12.83,3801300
2018-09-04,12.75,12.86,12.04,12.5,12.5,3758800
2018-09-05,12.25,12.31,11.35,11.39,11.39,5320200
2018-09-06,11.59,11.66,11.11,11.4,11.4,2416400
2018-09-07,11.26,11.88,11.0,11.71,11.71,2973200
2018-09-10,11.73,11.94,11.31,11.31,11.31,2528300
2018-09-11,11.11,11.99,11.11,11.84,11.84,3510300
2018-09-12,12.0,13.68,11.89,13.03,13.03,9417300
2018-09-13,13.46,14.12,13.161,13.35,13.35,6425300
2018-09-14,13.29,13.66,12.91,13.52,13.52,3904800
2018-09-17,13.29,13.5,12.775,13.23,13.23,3328900
2018-09-18,13.4,14.07,13.13,13.76,13.76,3956200
2018-09-19,13.69,14.0,13.2,13.22,13.22,2756300
2018-09-20,13.49,13.69,12.97,13.44,13.44,2206200
2018-09-21,13.45,13.67,12.36,12.43,12.43,5074600
2018-09-24,11.7,12.231,11.28,12.0,12.0,5842200
2018-09-25,12.0,12.659,11.7,12.55,12.55,3393300
2018-09-26,12.49,13.42,12.45,12.87,12.87,4916700
2018-09-27,12.87,13.1,12.73,13.02,13.02,2278900
2018-09-28,12.9,13.69,12.89,13.48,13.48,4170800
2018-10-01,13.7,14.085,13.57,13.95,13.95,3226400
2018-10-02,13.4,13.7,12.84,13.31,13.31,4114300
2018-10-03,15.15,15.5,14.03,14.37,14.37,18033500
2018-10-04,14.14,14.44,12.885,13.55,13.55,6889500
2018-10-05,13.37,13.88,12.9,13.35,13.35,4572100
2018-10-08,12.72,13.74,12.65,13.63,13.63,3539400
2018-10-09,13.31,13.535,13.0,13.17,13.17,2463100
2018-10-10,13.26,13.26,12.1,12.42,12.42,3842200
2018-10-11,12.03,12.9,12.02,12.69,12.69,3187200
2018-10-12,13.37,13.85,13.28,13.71,13.71,4143800
2018-10-15,13.28,14.18,13.26,13.95,13.95,3159600
2018-10-16,14.0,14.29,13.258,13.46,13.46,4059800
2018-10-17,13.67,13.72,12.91,13.25,13.25,2130200
2018-10-18,12.91,13.1,12.49,12.61,12.61,3147800
2018-10-19,12.94,13.07,12.37,12.49,12.49,1924100
2018-10-22,13.0,13.07,12.75,13.05,13.05,3448800
2018-10-23,12.67,13.17,12.57,12.97,12.97,1836300
2018-10-24,12.89,12.94,11.87,11.99,11.99,3620900
2018-10-25,12.24,12.63,12.21,12.57,12.57,2778000
2018-10-26,12.25,13.26,12.15,13.17,13.17,2576700
2018-10-29,13.45,13.55,12.258,12.47,12.47,2044300
2018-10-30,12.58,13.4,12.31,13.1,13.1,2481200
2018-10-31,13.63,14.5,13.28,13.5,13.5,8966500
2018-11-01,13.85,15.16,13.03,14.19,14.19,12344900
2018-11-02,14.96,15.18,14.16,14.43,14.43,5443900
2018-11-05,14.4,14.78,14.25,14.36,14.36,1709300
2018-11-06,14.36,15.48,14.35,14.91,14.91,4477600
2018-11-07,15.39,15.44,14.81,15.15,15.15,2010600
2018-11-08,15.06,15.08,14.35,14.49,14.49,2149400
2018-11-09,14.06,14.06,13.32,13.4,13.4,2689400
2018-11-12,13.51,13.71,12.78,12.9,12.9,3235700
2018-11-13,13.33,13.93,13.1,13.77,13.77,2395300
2018-11-14,13.87,14.14,13.54,13.56,13.56,1710900
2018-11-15,13.86,14.79,13.792,14.47,14.47,3435800
2018-11-16,14.2,14.94,13.96,14.5,14.5,3597400
2018-11-19,14.4,14.42,13.02,13.025,13.025,5016800
2018-11-20,13.05,13.9,12.85,13.6,13.6,5870700
2018-11-21,13.79,16.129999,13.75,15.14,15.14,19460700
2018-11-23,14.53,15.06,14.2,14.98,14.98,2797700
2018-11-26,15.15,15.36,14.64,14.94,14.94,2888400
2018-11-27,14.7,15.19,14.5,14.97,14.97,3099600
2018-11-28,15.2,16.17,15.03,16.139999,16.139999,5337900
2018-11-29,15.93,15.95,14.64,14.93,14.93,6587000
2018-11-30,15.15,15.74,14.9,15.61,15.61,5782600
2018-12-03,16.290001,16.74,15.32,15.42,15.42,5354700
2018-12-04,15.52,15.7,14.11,14.33,14.33,4901300
2018-12-06,14.03,14.73,13.9,14.68,14.68,4840400
2018-12-07,14.66,15.4,14.52,14.69,14.69,3614300
2018-12-10,14.59,15.089,14.59,14.71,14.71,3151300
2018-12-11,15.02,15.33,14.81,15.05,15.05,2029900
